address	kind	section	name	demangled
01e91c68	function	.text	SND_StopPositionalSound__FP14SND_Positionalb	SND_StopPositionalSound(SND_Positional *, bool)
01ef5918	data	.data	g_MaterialHasBloomedThisFrame	g_MaterialHasBloomedThisFrame
01ec6be0	function	.text	strncmp	strncmp
01ea3b68	function	.text	scePadPortOpen	scePadPortOpen
01edda99	data	.data	MCP_BypassBootMoviesOnComingBack	MCP_BypassBootMoviesOnComingBack
01e94700	function	.text	snd_FlushSoundCommands	snd_FlushSoundCommands
01e9d0d0	function	.text	sceDmaSend	sceDmaSend
01e64838	function	.text	MEMCARD_SetMultiplayerSave__Fb	MEMCARD_SetMultiplayerSave(bool)
01e91758	function	.text	SND_GetPositionalSoundAt__FUi	SND_GetPositionalSoundAt(unsigned int)
01e92aa0	function	.text	SND_StopATRACInstance__FP13ATRACInstance	SND_StopATRACInstance(ATRACInstance *)
01ea4870	function	.text	BinkOpen	BinkOpen
01e8ffa0	function	.text	GLOBALWAD_FindAssetsBySignature__FUi14WAD_ASSET_TYPE	GLOBALWAD_FindAssetsBySignature(unsigned int, WAD_ASSET_TYPE)
01e84128	function	.text	SYSTEM_SwapFrame__FP10GSSettingsiiibUi	SYSTEM_SwapFrame(GSSettings *, int, int, int, bool, unsigned int)
01e7edb0	function	.text	RENDEREFFECT_Color__FUi	RENDEREFFECT_Color(unsigned int)
01e917a8	function	.text	SND_SetGlobalMusicVolume__Ff	SND_SetGlobalMusicVolume(float)
01e81cb8	function	.text	LoadMatrix__Q34scee3Psp3GumPC7MATRIX4	scee::Psp::Gum::LoadMatrix(MATRIX4 const *)
01e82818	function	.text	Ortho__Q34scee3Psp3Gumffffff	scee::Psp::Gum::Ortho(float, float, float, float, float, float)
01e91cd8	function	.text	SND_PausePositionalSound__FP14SND_Positionalb	SND_PausePositionalSound(SND_Positional *, bool)
01e90ac8	function	.text	SND_StopSoundThread__Fv	SND_StopSoundThread(void)
01e92a20	function	.text	SND_PauseAndSyncATRAC__Fi	SND_PauseAndSyncATRAC(int)
01e91890	function	.text	SND_Play__FP9GDE_SoundffPP14SND_PositionalUi	SND_Play(GDE_Sound *, float, float, SND_Positional **, unsigned int)
01e94358	function	.text	get_psm_from_pixel_mode__Fi	get_psm_from_pixel_mode(int)
01f05e70	data	.data	PAR_vu_renderer_fast	PAR_vu_renderer_fast
01e62810	function	.text	MEMCARD_SetWideScreenToMemcard__FUi	MEMCARD_SetWideScreenToMemcard(unsigned int)
01e82d48	function	.text	UpdateMatrix__Q34scee3Psp3Gumv	scee::Psp::Gum::UpdateMatrix(void)
01ebd830	function	.text	asyncCmdSync	asyncCmdSync
01e9d688	function	.text	floorf	floorf
01ec67c8	function	.text	strcpy	strcpy
01ebbcb0	function	.text	ps2fioClose	ps2fioClose
01ec64dc	function	.text	strchr	strchr
01e90ac0	function	.text	SND_StartSoundThread__Fv	SND_StartSoundThread(void)
01e93ee0	function	.text	dlib_displist_mscal__FP13DLIB_DISPLISTi	dlib_displist_mscal(DLIB_DISPLIST *, int)
01e91540	function	.text	SND_ContinueSoundsImmediate__Fv	SND_ContinueSoundsImmediate(void)
01f00ef0	data	.data	skinnedmesh_vu_renderer	skinnedmesh_vu_renderer
01e62980	function	.text	MEMCARD_GetSlotHeaderDetail__FUi	MEMCARD_GetSlotHeaderDetail(unsigned int)
01e7f0f0	function	.text	RENDEREFFECT_Vignette__FUc	RENDEREFFECT_Vignette(unsigned char)
01e8e860	function	.text	readTexPSMCT32__FiiiiiiPv	readTexPSMCT32(int, int, int, int, int, int, void *)
